代號,名稱,英文名稱,票面利率,轉換價格(元),轉換價格生效日期,轉換標的代碼,轉換標的名稱,轉換日期起,轉換日期迄,發行日期,掛牌日期,到期日,到期價格,到期殖利率,申請發行總額(百萬),實際發行總額(百萬),發行價格(元),最新餘額(百萬),還本年限,發行時轉換價格(元),承銷機構,過戶機構,提前償還日,提前償還日1,提前償還價格1,提前償還殖利率1,提前償還日2,提前償還價格2,提前償還殖利率2,提前償還日3,提前償還價格3,提前償還殖利率3,提前償還日4,提前償還價格4,提前償還殖利率4,最近提前償還日,最近提前償還價格,最近提前償還殖利率,債券擔保情形,重設平均天數3,重設轉換價格公式,停止受理轉換登記日期起,停止受理轉換登記日期訖,強制贖回日
15142,亞力二,"ALLIS ELECTRIC CO.,Ltd 2nd Domestic Unsecured Convertible Bond",0.0,109.2,2025-09-15 00:00:00,1514.0,亞力,2025-04-14 00:00:00,2030-01-13 00:00:00,2025-01-13 00:00:00,2025-01-13 00:00:00,2030-01-13 00:00:00,100.0,0.0,1200.0,1200.0,100.5,1200.0,5.0,113.2,980T元大證券,元大證券股份有限公司股務代理部,發行滿三年,2028-01-13 00:00:00,100.7519,0.25,2030-01-13 00:00:00,100.0,0.0,,,,,,,2028-01-13 00:00:00,100.7519,0.25,無,,,2025-08-21 00:00:00,2025-09-15 00:00:00,
12561,鮮活果汁一KY,"Sunjuice Holdings Co., Limited 1st Unsecured Convertible Bonds",0.0,189.1,2025-11-03 00:00:00,1256.0,鮮活果汁-KY,2026-01-09 00:00:00,2028-10-08 00:00:00,2025-10-08 00:00:00,2025-10-08 00:00:00,2028-10-08 00:00:00,100.0,0.0,200.0,200.0,101.5,200.0,3.0,190.0,700T兆豐證券,兆豐證券股份有限公司股務代理本部,發行滿二年,2027-10-08 00:00:00,100.5006,0.25,2028-10-08 00:00:00,100.0,0.0,,,,,,,2027-10-08 00:00:00,100.5006,0.25,無,,,,,
15261,日馳一,SUN RACE STURMEY-ARCHER INC. 1st Domestic Unsecured Convertible Bond,0.0,37.29,2023-12-05 00:00:00,1526.0,日馳,2023-12-20 00:00:00,2026-09-19 00:00:00,2023-09-19 00:00:00,2023-09-19 00:00:00,2026-09-19 00:00:00,100.0,0.0,500.0,500.0,103.81,500.0,3.0,38.0,960T富邦綜合證券,富邦綜合證券股份有限公司股務代理部,無,2026-09-19 00:00:00,100.0,0.0,,,,,,,,,,2026-09-19 00:00:00,100.0,0.0,無,,,2025-04-21 00:00:00,2025-06-19 00:00:00,
15364,和大四,"HOTA Industrial Mfg. Co., Ltd. 4th Domestic Unsecured Convertible Bond",0.0,71.47,2025-04-16 00:00:00,1536.0,和大,2024-11-13 00:00:00,2027-08-12 00:00:00,2024-08-12 00:00:00,2024-08-12 00:00:00,2027-08-12 00:00:00,100.0,0.0,1500.0,1500.0,100.0,1500.0,3.0,72.26,611T台中銀證券,元富證券股份有限公司股務代理部,發行滿二年,2026-08-12 00:00:00,100.0,0.0,2027-08-12 00:00:00,100.0,0.0,,,,,,,2026-08-12 00:00:00,100.0,0.0,無,,,2025-03-20 00:00:00,2025-06-10 00:00:00,
15601,中砂一,Kinik Companay 1st Unsecured Convertible Bond,0.0,284.6,2025-07-27 00:00:00,1560.0,中砂,2024-09-25 00:00:00,2029-06-24 00:00:00,2024-06-24 00:00:00,2024-06-24 00:00:00,2029-06-24 00:00:00,100.0,0.0,1000.0,1000.0,118.38,999.5,5.0,292.1,920T凱基證券,凱基證券股份有限公司股務代理部,發行滿三年,2027-06-24 00:00:00,100.0,0.0,2029-06-24 00:00:00,100.0,0.0,,,,,,,2027-06-24 00:00:00,100.0,0.0,無,,,2025-07-02 00:00:00,2025-07-27 00:00:00,
15864,和勤四,"CHINA FINEBLANKING TECHNOLOGY CO., LTD. 4th Domestic Secured Convertible Bond",0.0,30.74,2025-10-18 00:00:00,1586.0,和勤,2023-12-01 00:00:00,2026-08-30 00:00:00,2023-08-30 00:00:00,2023-08-30 00:00:00,2026-08-30 00:00:00,100.0,0.0,200.0,200.0,107.2,200.0,3.0,33.39,102T合作金庫證券,群益金鼎證券股份有限公司,無,2026-08-30 00:00:00,100.0,0.0,,,,,,,,,,2026-08-30 00:00:00,100.0,0.0,有，合作金庫商業銀行股份有限公司,,,2025-09-18 00:00:00,2025-10-18 00:00:00,
15865,和勤五,"CHINA FINEBLANKING TECHNOLOGY CO., LTD. 5th Domestic Unsecured Convertible Bond",0.0,30.14,2025-10-18 00:00:00,1586.0,和勤,2023-12-01 00:00:00,2026-08-31 00:00:00,2023-08-31 00:00:00,2023-08-31 00:00:00,2026-08-31 00:00:00,101.5075,0.5,300.0,300.0,100.0,290.2,3.0,32.74,102T合作金庫證券,群益金鼎證券股份有限公司,無,2026-08-31 00:00:00,101.5075,0.5,,,,,,,,,,2026-08-31 00:00:00,101.5075,0.5,無,,,2025-09-18 00:00:00,2025-10-18 00:00:00,
15894,永冠四KY,"Yeong Guan Energy Technology Group Co., Ltd 4th Unsecured Convertible Bond",0.0,60.7,2025-11-13 00:00:00,1589.0,永冠-KY,2023-05-21 00:00:00,2028-02-20 00:00:00,2023-02-20 00:00:00,2023-02-20 00:00:00,2028-02-20 00:00:00,100.0,0.0,1500.0,1500.0,104.23,1031.6,5.0,62.3,9A0T永豐金證券,群益金鼎證券股份有限公司股務代理部,發行滿三年,2026-02-20 00:00:00,101.51,0.5,2028-02-20 00:00:00,100.0,0.0,,,,,,,2026-02-20 00:00:00,101.51,0.5,無,,,2025-10-01 00:00:00,2025-10-30 00:00:00,
15952,川寶二,"CHIME BALL TECHNOLOGY CO.,LTD 2nd Domestic Unsecured Convertible Bond",0.0,37.7,2025-07-18 00:00:00,1595.0,川寶,2024-12-03 00:00:00,2029-09-02 00:00:00,2024-09-02 00:00:00,2024-09-02 00:00:00,2029-09-02 00:00:00,100.0,0.0,300.0,300.0,109.82,91.0,5.0,38.3,648T福邦證券,福邦證券股份有限公司,發行滿三年,2027-09-02 00:00:00,101.51,0.5,2029-09-02 00:00:00,100.0,0.0,,,,,,,2027-09-02 00:00:00,101.51,0.5,無,,,2025-06-23 00:00:00,2025-07-18 00:00:00,
15984,岱宇四,Dyaco International Inc 4th Domestic unsecured Convertible Bond,0.0,32.7,2025-06-08 00:00:00,1598.0,岱宇,2025-06-04 00:00:00,2028-03-03 00:00:00,2025-03-03 00:00:00,2025-03-03 00:00:00,2028-03-03 00:00:00,100.0,0.0,200.0,200.0,100.0,200.0,3.0,33.6,585T統一綜合證券,富邦金證券股務代理部,發行滿二年,2027-03-03 00:00:00,102.01,1.0,2028-03-03 00:00:00,100.0,0.0,,,,,,,2027-03-03 00:00:00,102.01,1.0,無,,,2025-05-13 00:00:00,2025-06-08 00:00:00,
16095,大亞五,"Ta Ya Electric Wire & Cable Co., Ltd. 5th Domestic Unsecured Convertible Bond",0.0,51.3,2025-07-20 00:00:00,1609.0,大亞,2024-12-31 00:00:00,2029-09-30 00:00:00,2024-09-30 00:00:00,2024-09-30 00:00:00,2029-09-30 00:00:00,100.0,0.0,2000.0,2000.0,107.46,2000.0,5.0,53.1,920T凱基證券,凱基證券股份有限公司,發行滿三年,2027-09-30 00:00:00,100.75,0.25,2029-09-30 00:00:00,100.0,0.0,,,,,,,2027-09-30 00:00:00,100.75,0.25,無,,,2025-06-25 00:00:00,2025-07-20 00:00:00,
17813,合世三,"HEALTH&LIFE CO., LTD 3rd Domestic Secured Convertible Bond",0.0,18.0,2024-09-24 00:00:00,1781.0,合世,2024-12-25 00:00:00,2027-09-24 00:00:00,2024-09-24 00:00:00,2024-09-24 00:00:00,2027-09-24 00:00:00,100.0,0.0,200.0,200.0,112.91,200.0,3.0,18.0,930T華南永昌綜合證券,富邦證券,無,2027-09-24 00:00:00,100.0,0.0,,,,,,,,,,2027-09-24 00:00:00,100.0,0.0,有，華南商業銀行股份有限公司,,,2025-04-18 00:00:00,2025-06-16 00:00:00,
17863,科妍三,SciVision Biotech Inc. 3rd Unsecured Convertible Bond,0.0,116.5,2025-08-01 00:00:00,1786.0,科妍,2025-11-02 00:00:00,2028-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2028-08-01 00:00:00,100.0,0.0,400.0,400.0,100.0,400.0,3.0,116.5,585T統一綜合證券,宏遠證券股務代理部,發行滿二年,2027-08-01 00:00:00,102.01,1.0,2028-08-01 00:00:00,100.0,0.0,,,,,,,2027-08-01 00:00:00,102.01,1.0,無,,,,,
18156,富喬六,Fulltech Fiber Glass Corp. 6th Domestic Unsecured Convertible Bond,0.0,13.82,2024-11-15 00:00:00,1815.0,富喬,2021-06-17 00:00:00,2026-03-16 00:00:00,2021-03-16 00:00:00,2021-03-16 00:00:00,2026-03-16 00:00:00,100.0,0.0,400.0,400.0,100.0,8.5,5.0,15.6,104T臺銀綜合證券,富喬工業股份有限公司 股務室,發行滿三、四年,2024-03-16 00:00:00,103.0301,1.0,2025-03-16 00:00:00,105.0945,1.25,2026-03-16 00:00:00,100.0,0.0,,,,2026-03-16 00:00:00,100.0,0.0,無,,,2025-11-10 00:00:00,2025-12-03 00:00:00,
19094,榮成四,"Longchen Paper & Packaging Co., Ltd. 2nd Domestic Unsecured Convertible Bond",0.0,23.9,2023-07-10 00:00:00,1909.0,榮成,2022-03-21 00:00:00,2026-12-20 00:00:00,2021-12-20 00:00:00,2021-12-20 00:00:00,2026-12-20 00:00:00,100.0,0.0,700.0,700.0,108.58,16.0,5.0,26.2,815T台新綜合證券,元大證券股份有限公司,發行滿三年,2024-12-20 00:00:00,100.7519,0.25,2026-12-20 00:00:00,100.0,0.0,,,,,,,2026-12-20 00:00:00,100.0,0.0,無,,,2025-03-30 00:00:00,2025-05-28 00:00:00,
20343,允強三,YC INOX&#039;s 3rd Domestic Unsecured Convertible Corporate Bonds,0.0,20.1,2025-07-21 00:00:00,2034.0,允強,2021-03-16 00:00:00,2025-12-15 00:00:00,2020-12-15 00:00:00,2020-12-15 00:00:00,2025-12-15 00:00:00,100.0,0.0,1000.0,1000.0,100.0,157.2,5.0,26.5,9A0T永豐金證券,永豐金證券股份有限公司股務代理部,發行滿三年,2023-12-15 00:00:00,100.0,0.0,2025-12-15 00:00:00,100.0,0.0,,,,,,,2025-12-15 00:00:00,100.0,0.0,無,,,2025-06-26 00:00:00,2025-07-21 00:00:00,
20344,允強四,"YC INOX CO .,LTD  4th Domestic Unsecured Convertible Bonds",0.0,24.0,2025-07-21 00:00:00,2034.0,允強,2025-01-03 00:00:00,2029-10-02 00:00:00,2024-10-02 00:00:00,2024-10-02 00:00:00,2029-10-02 00:00:00,100.0,0.0,2000.0,2000.0,100.5,2000.0,5.0,25.6,9A0T永豐金證券,永豐金證券股份有限公司股務代理部,發行滿三年,2027-10-02 00:00:00,100.0,0.0,2029-10-02 00:00:00,100.0,0.0,,,,,,,2027-10-02 00:00:00,100.0,0.0,無,,,2025-06-26 00:00:00,2025-07-21 00:00:00,
20632,世鎧二,"Sheh Kai Precision Co., Ltd. 2nd Unsecured Convertible Bond",0.0,47.9,2025-04-09 00:00:00,2063.0,世鎧,2024-02-11 00:00:00,2026-11-10 00:00:00,2023-11-10 00:00:00,2023-11-10 00:00:00,2026-11-10 00:00:00,100.0,0.0,600.0,600.0,107.32,339.3,3.0,55.0,960T富邦綜合證券,永豐金證券股份有限公司股務代理部,發行滿二年,2025-11-10 00:00:00,100.0,0.0,2026-11-10 00:00:00,100.0,0.0,,,,,,,2026-11-10 00:00:00,100.0,0.0,無,,,2025-03-13 00:00:00,2025-06-03 00:00:00,2026-01-13
20662,世德二,"SUMEEKO CO., LTD. 2nd Domestic Unsecured Convertible Bond",0.0,88.1,2025-11-09 00:00:00,2066.0,世德,2023-11-01 00:00:00,2026-07-31 00:00:00,2023-07-31 00:00:00,2023-07-31 00:00:00,2026-07-31 00:00:00,100.0,0.0,400.0,400.0,109.91,237.8,3.0,101.0,585T統一綜合證券,台新綜合證券股務代理部,無,2026-07-31 00:00:00,100.0,0.0,,,,,,,,,,2026-07-31 00:00:00,100.0,0.0,無,,,2025-10-14 00:00:00,2025-11-09 00:00:00,
21043,國際中橡三,International CSRC Investment Holdings Co. 3rd Domestic Unsecured Convertible Bond,0.0,21.2,2023-10-13 00:00:00,2104.0,國際中橡,2024-01-14 00:00:00,2028-10-13 00:00:00,2023-10-13 00:00:00,2023-10-13 00:00:00,2028-10-13 00:00:00,100.0,0.0,3500.0,3500.0,100.2,3500.0,5.0,21.2,980T元大證券,中國信託商業銀行股份有限公司代理部,發行滿三年,2026-10-13 00:00:00,100.9,0.3,2028-10-13 00:00:00,100.0,0.0,,,,,,,2026-10-13 00:00:00,100.9,0.3,無,,,2025-03-30 00:00:00,2025-05-28 00:00:00,
22013,裕隆三,"YULON MOTOR CO.,LTD 3rd Domestic Unsecured Convertible Bond",0.0,75.0,2025-08-29 00:00:00,2201.0,裕隆,2023-08-26 00:00:00,2028-05-25 00:00:00,2023-05-25 00:00:00,2023-05-25 00:00:00,2028-05-25 00:00:00,102.5251,0.5,7000.0,7000.0,102.0,6999.9,5.0,82.0,920T凱基證券,裕隆股務組,發行滿三年,2026-05-25 00:00:00,100.7519,0.25,2028-05-25 00:00:00,102.5251,0.5,,,,,,,2026-05-25 00:00:00,100.7519,0.25,無,,,2025-08-04 00:00:00,2025-08-29 00:00:00,
22283,劍麟三,"IRON FORCE INDUSTRIAL CO., LTD. 3rd Unsecured Convertible Bond",0.0,85.36,2025-07-14 00:00:00,2228.0,劍麟,2024-11-30 00:00:00,2027-08-29 00:00:00,2024-08-29 00:00:00,2024-08-29 00:00:00,2027-08-29 00:00:00,100.0,0.0,300.0,300.0,114.2,278.7,3.0,95.51,920T凱基證券,元大證券股份有限公司股務代理部,無,2027-08-29 00:00:00,100.0,0.0,,,,,,,,,,2027-08-29 00:00:00,100.0,0.0,無,,,2025-06-19 00:00:00,2025-07-14 00:00:00,
22362,百達二KY,"Patec Precision Industry Co., Ltd. 2nd Unsecured Convertible Bond",0.0,63.1,2025-11-24 00:00:00,2236.0,百達-KY,2023-11-19 00:00:00,2026-08-18 00:00:00,2023-08-18 00:00:00,2023-08-18 00:00:00,2026-08-18 00:00:00,100.0,0.0,200.0,200.0,103.79,0.5,3.0,66.0,815T台新綜合證券,中國信託商業銀行代理部,無,2026-08-18 00:00:00,100.0,0.0,,,,,,,,,,2026-08-18 00:00:00,100.0,0.0,無,,,2025-11-21 00:00:00,2025-12-16 00:00:00,
22471,汎德永業一,Pan German Universal Motors Ltd. 1st. Domestic Unsecured Convertible Bond,0.0,289.4,2025-08-03 00:00:00,2247.0,汎德永業,2025-09-27 00:00:00,2028-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2028-06-26 00:00:00,100.0,0.0,1000.0,1000.0,101.0,1000.0,3.0,307.6,群益金鼎券證股份有限公司,群益金鼎券證股務代理部,無,2028-06-26 00:00:00,100.0,0.0,,,,,,,,,,2028-06-26 00:00:00,100.0,0.0,無,,,,,
22472,汎德永業二,Pan German Universal Motors Ltd. 2nd. Domestic Unsecured Convertible Bond,0.0,280.2,2025-08-03 00:00:00,2247.0,汎德永業,2025-10-01 00:00:00,2028-06-30 00:00:00,2025-06-30 00:00:00,2025-06-30 00:00:00,2028-06-30 00:00:00,100.0,0.0,1000.0,1000.0,102.37,1000.0,3.0,297.8,群益金鼎證券股份有限公司,群益金鼎券證股務代理部,無,2028-06-30 00:00:00,100.0,0.0,,,,,,,,,,2028-06-30 00:00:00,100.0,0.0,無,,,,,
11011,台泥一永,"TCC Group Holdings Co., Ltd.1st Domestic Unsecured Convertible Bond",0.0,35.2,2025-07-08 00:00:00,1101.0,台泥,2025-03-11 00:00:00,2029-12-10 00:00:00,2024-12-10 00:00:00,2024-12-10 00:00:00,2029-12-10 00:00:00,100.0,0.0,8000.0,8000.0,100.0,8000.0,5.0,36.5,980T元大證券,中國信託商業銀行股份有限公司代理部,發行滿三年,2027-12-10 00:00:00,100.0,0.0,2029-12-10 00:00:00,100.0,0.0,,,,,,,2027-12-10 00:00:00,100.0,0.0,無,,,2025-06-13 00:00:00,2025-07-08 00:00:00,
23372,旺宏二,"Macronix International Co., Ltd 2nd Domestic Unsecured Convertible Bond",0.0,23.0,2025-03-24 00:00:00,2337.0,旺宏,2025-06-25 00:00:00,2028-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,2028-03-24 00:00:00,100.0,0.0,3000.0,3000.0,100.5,2336.0,3.0,23.0,920T凱基證券,旺宏電子股份有限公司股務室,無,2028-03-24 00:00:00,100.0,0.0,,,,,,,,,,2028-03-24 00:00:00,100.0,0.0,無,,,,,
23383,光罩三,TAIWAN MASK CORP. 3rd Domestic Convertible Bond,0.0,74.5,2025-08-26 00:00:00,2338.0,光罩,2021-11-04 00:00:00,2026-08-03 00:00:00,2021-08-03 00:00:00,2021-08-03 00:00:00,2026-08-03 00:00:00,100.0,0.0,2000.0,2000.0,115.23,97.9,5.0,88.8,凱基證券股份有限公司,福邦證券股份有限公司股務代理部,發行滿三、四年,2024-08-03 00:00:00,100.0,0.0,2025-08-03 00:00:00,100.0,0.0,2026-08-03 00:00:00,100.0,0.0,,,,2026-08-03 00:00:00,100.0,0.0,無,,,2025-03-30 00:00:00,2025-05-28 00:00:00,
23511,順德一,SDI Corporation 1st Domestic Unsecured Convertible Bond,0.0,72.4,2025-08-08 00:00:00,2351.0,順德,2025-09-18 00:00:00,2028-06-17 00:00:00,2025-06-17 00:00:00,2025-06-17 00:00:00,2028-06-17 00:00:00,100.0,0.0,1200.0,1200.0,102.18,1200.0,3.0,75.0,815T台新綜合證券,群益金鼎證券股份有限公司,無,2028-06-17 00:00:00,100.0,0.0,,,,,,,,,,2028-06-17 00:00:00,100.0,0.0,無,,,,,
23682,金像電二,GOLD CIRCUIT ELECTRONICS LTD. 2nd Domestic Unsecured Convertible Bond,0.0,214.0,2025-06-30 00:00:00,2368.0,金像電,2024-03-06 00:00:00,2028-12-05 00:00:00,2023-12-05 00:00:00,2023-12-05 00:00:00,2028-12-05 00:00:00,100.0,0.0,4000.0,4000.0,107.16,913.0,5.0,223.1,960T富邦綜合證券,中國信託商業銀行代理部,發行滿三年,2026-12-05 00:00:00,100.0,0.0,2028-12-05 00:00:00,100.0,0.0,,,,,,,2026-12-05 00:00:00,100.0,0.0,無,,,2025-06-05 00:00:00,2025-06-30 00:00:00,2025-12-30
23683,金像電三,CIRCUIT ELECTRONICS LTD. 3rd Domestic Unsecured Convertible Bond,0.0,450.0,2025-11-24 00:00:00,2368.0,金像電,2026-02-25 00:00:00,2030-11-24 00:00:00,2025-11-24 00:00:00,2025-11-24 00:00:00,2030-11-24 00:00:00,100.0,0.0,9000.0,9000.0,112.88,9000.0,5.0,450.0,960T富邦綜合證券,中國信託商業銀行代理部,發行滿三年,2028-11-24 00:00:00,100.0,0.0,2030-11-24 00:00:00,100.0,0.0,,,,,,,2028-11-24 00:00:00,100.0,0.0,無,,,,,
24023,毅嘉三,ICHIA TECHNOLOGIES INC 3rd Domestic Unsecured Convertible Bond,0.0,55.0,2025-11-19 00:00:00,2402.0,毅嘉,2026-02-20 00:00:00,2028-11-19 00:00:00,2025-11-19 00:00:00,2025-11-19 00:00:00,2028-11-19 00:00:00,100.0,0.0,1000.0,1000.0,102.0,1000.0,3.0,55.0,700T兆豐證券,台新綜合證券股份有限公司股務代理部,發行滿二年,2027-11-19 00:00:00,100.0,0.0,2028-11-19 00:00:00,100.0,0.0,,,,,,,2027-11-19 00:00:00,100.0,0.0,無,,,,,
24271,三商電一,Mercuries Data Systems Ltd. 1st Domestic Unsecured Convertible Bond,0.0,26.3,2025-08-11 00:00:00,2427.0,三商電,2024-03-14 00:00:00,2028-12-13 00:00:00,2023-12-13 00:00:00,2023-12-13 00:00:00,2028-12-13 00:00:00,100.0,0.0,500.0,500.0,102.0,468.4,5.0,28.0,815T台新綜合證券,宏遠證券股份有限公司股務代理部,發行滿三、四年,2026-12-13 00:00:00,101.51,0.5,2027-12-13 00:00:00,102.02,0.5,2028-12-13 00:00:00,100.0,0.0,,,,2026-12-13 00:00:00,101.51,0.5,無,,,2025-07-17 00:00:00,2025-08-11 00:00:00,
24361,偉詮電一,"Weltrend Semiconductor, Inc.  1st Domestic Unsecured Convertible Bond",0.0,53.3,2025-09-08 00:00:00,2436.0,偉詮電,2023-12-12 00:00:00,2026-09-11 00:00:00,2023-09-11 00:00:00,2023-09-11 00:00:00,2026-09-11 00:00:00,100.0,0.0,1100.0,1100.0,112.15,1099.9,3.0,61.2,815T台新綜合證券,中國信託商業銀行 代理部,發行滿二年,2025-09-11 00:00:00,100.500625,0.25,2026-09-11 00:00:00,100.0,0.0,,,,,,,2026-09-11 00:00:00,100.0,0.0,無,,,2025-06-09 00:00:00,2025-07-04 00:00:00,
