股票代號,代號,名稱,掛牌最高,掛牌最低,資金用途,掛牌日期,資金用途分類
1464,14642,得力二,177.0,103.0,償還銀行借款4.5億，與得力一同時發行,2015-05-21 00:00:00,償還銀行借款
1466,14661,聚隆一,127.0,98.0,機器設備及增設附屬工程1.09億，償還銀行借款1.9億,2011-05-30 00:00:00,償還銀行借款
1466,14662,聚隆二,147.5,102.75,償還銀行借款3億,2013-01-14 00:00:00,償還銀行借款
1466,14663,聚隆三,109.0,98.0,現金增資1億，5000張/20元，聚隆三募得4億，償還銀行借款3億，轉投資子公司2億,2014-09-24 00:00:00,償還銀行借款
1467,14671,南緯一,142.2,101.5,,,
1472,14721,三洋實業一,124.5,99.1,償還銀行借款3.72億,2019-01-30 00:00:00,償還銀行借款
1474,14741,弘裕一,125.0,100.0,,,
1474,14742,弘裕二,117.0,96.0,購置機器設備1.06億，償還銀行借款2.21億,2022-01-26 00:00:00,償還銀行借款
1474,14743,弘裕三,99.95,89.5,償還國內第二次無擔保轉換公司債到期所需資金3.04億，發行CB3共3000張,2025-03-31 00:00:00,借新還舊
1477,14771,聚陽一,386.0,110.0,,,
1477,14772,聚陽二 ,292.0,100.0,,,
1477,14773,聚陽三,495.0,106.5,,2009-06-12 00:00:00,
1477,14774,聚陽四,401.0,106.2,償還銀行借款7億,2012-08-24 00:00:00,償還銀行借款
1504,15043,東元三,167.0,99.05,償還銀行借款 30億,2012-07-12 00:00:00,償還銀行借款
1506,15061,正道一,121.0,96.95,償還銀行借款2億，轉投資正道福州1.5億，正道馬來0.8億，興建廠房購置設備2.1億，充實營運資金0.6億。,2015-01-23 00:00:00,償還+充實
1513,15131,中興電一,213.0,101.0,償還銀行借款15億,2020-01-16 00:00:00,償還銀行借款
1513,15132,中興電二,231.0,106.0,償還銀行借款15.06億,2020-12-17 00:00:00,償還銀行借款
1514,15141,亞力一,276.0,103.8,償還金融機構借款10.05億,2023-08-17 00:00:00,償還銀行借款
1514,15142,亞力二,127.0,99.45,償還銀行借款12.06億，發行第二次CB 12000張。,2025-01-13 00:00:00,借新還舊
1515,15151,力山一,131.0,122.0,,,
1522,15221,堤維西一,142.0,92.0,,,
1524,15241,耿鼎一,195.0,103.2,,,
1524,15242,耿鼎二,100.0,100.0,,2005-01-22 00:00:00,
1524,15243,耿鼎三,127.0,101.0,償還銀行借款3億,2012-01-02 00:00:00,償還銀行借款
1526,15261,日馳一,104.8,90.1,充實營運資金1.69億，償還銀行借款3.5億,2023-09-19 00:00:00,償還+充實
1528,15281,恩德一,132.0,78.3,,,
1528,15282,恩德二,149.0,102.0,,2010-07-16 00:00:00,
1529,15291,樂士一,179.0,54.0,,,
1530,15301,亞崴一,115.0,103.0,,,
1530,15302,亞崴二,105.0,98.0,償還銀行借款4億,2015-05-14 00:00:00,償還銀行借款
1532,15321,勤美一,225.0,123.0,,,
1532,15322,勤美二,211.0,102.5,,,
1532,15323,勤美三,338.0,102.0,,,
1532,15324,勤美四,184.0,99.75,償還銀行借款15億,2022-01-24 00:00:00,償還銀行借款
1533,15331,車王電一,132.0,103.0,,,
1533,15332,車王電二,111.0,93.5,償還銀行借款10億，充實營運資金0.55億,2022-01-26 00:00:00,償還+充實
1535,15351,中宇一,164.0,104.0,充實營運資金4.5億，轉投資中宇越南1.5億,2012-02-20 00:00:00,充實營運資金
1536,15361,和大一,231.0,97.1,,,
1536,15362,和大二,141.5,82.15,,2006-07-08 00:00:00,
1536,15363,和大三,765.0,725.0,,2009-11-05 00:00:00,
1536,15364,和大四,130.3,93.9,償還銀行借款15億，發行CB4共15000張，詢圈100發行,2024-08-12 00:00:00,借新還舊
1537,15371,廣隆一,225.0,83.0,,2007-11-27 00:00:00,
1541,15411,錩泰一,129.45,77.0,,,
1560,15601,中砂一,141.85,98.7,償還銀行借款11.83億,2024-06-24 00:00:00,償還銀行借款
1566,15661,捷邦一,124.85,94.0,,2012-12-14 00:00:00,
1569,15691,濱川一,207.0,92.25,,,
1569,15692,濱川二,182.0,107.0,,2010-01-18 00:00:00,
1569,15693,濱川三,162.0,107.0,,2010-01-19 00:00:00,
1569,15694,濱川四,136.95,101.0,現金增資2億，5000張/40元，濱川四募得2億，償還銀行借款2億，轉投資2億,2012-12-12 00:00:00,償還銀行借款
1569,15695,濱川五,187.0,100.2,現金增資1.75億，10000張/17.5元，濱川五募得2億，償還銀行借款3.75億,2015-02-04 00:00:00,償還銀行借款
1569,15696,濱川六,149.0,95.0,償還銀行借款6億,2019-02-27 00:00:00,償還銀行借款
1582,15821,信錦一,130.8,97.6,,2011-02-19 00:00:00,
1582,15822,信錦二,147.0,98.5,償還銀行借款6.24億，轉投資子公司(昆山鴻嘉駿)1.82億,2015-01-20 00:00:00,償還銀行借款
1582,15823,信錦三,203.0,101.0,償還銀行借款8.35億，轉投資子公司4.28億,2021-09-09 00:00:00,償還銀行借款
1583,15831,程泰一,106.8,95.05,償還金融機構借款6.03億,2015-03-11 00:00:00,償還銀行借款
1584,15841,精剛一,117.7,93.0,,,
1584,15842,精剛二,113.0,100.0,現金增資1.93億，精剛二募得2.87億，償還銀行借款4.67億，充實營運資金0.2億,2012-04-24 00:00:00,償還+充實
1586,15861,和勤一,189.0,100.2,償還銀行借款3億,2015-01-13 00:00:00,償還銀行借款
1586,15862,和勤二,127.5,99.5,償還銀行借款4億,2020-08-31 00:00:00,償還銀行借款
1586,15863,和勤三,125.25,98.55,償還銀行借款4億,2020-09-01 00:00:00,償還銀行借款
1586,15864,和勤四,124.0,105.0,償還國內第二次第三次有擔保轉換公司債3.85億，償還銀行借款1.14億，充實營運資金0.14億，與和勤五同時發行,2023-08-30 00:00:00,借新還舊
1586,15865,和勤五,114.5,93.55,償還國內第二次第三次有擔保轉換公司債3.85億，償還銀行借款1.14億，充實營運資金0.14億，與和勤四同時發行,2023-08-31 00:00:00,借新還舊
1589,15891,永冠一KY,165.0,100.05,現金增資4.24億，4000張/106元，永冠一募得15億，償還銀行借款15.89億，充實營運資金4億,2014-06-03 00:00:00,償還+充實
1589,15892,永冠二KY,114.0,97.5,現金增資9.9億，5000張/198元，永冠二募得25億，興建廠房15億，購置機器設備13.86億，充實營運資金6.13億,2015-08-18 00:00:00,充實營運資金
1589,15893,永冠三KY,116.0,93.7,興建廠房21.9億，購置機器設備10.68億，充實營運資金4.58億，共需37.18億元,2020-09-03 00:00:00,充實營運資金
1589,15894,永冠四KY,131.1,92.45,償還銀行借款15億,2023-02-20 00:00:00,償還銀行借款
1592,15921,英瑞一KY,99.6,26.1,,2019-11-18 00:00:00,
1593,15931,祺驊一,145.0,102.05,現金增資0.95億，2660張/36元，祺驊一募得0.6億，購置機器設備0.32億，充實營運資金1.26億,2015-01-30 00:00:00,充實營運資金
1593,15932,祺驊二,228.0,105.0,償還銀行借款0.95億及充實營運資金1.06億,2020-11-04 00:00:00,償還+充實
1595,15951,川寶一,115.5,96.0,購買專利權(含技轉)1.35億，購買商品存貨(含零件存貨及半成品)1.15億,2015-02-11 00:00:00,資本支出
1595,15952,川寶二,191.0,102.0,"轉投資 CBT CONVERGE CO.,LTD. (以下簡稱川寶泰國)  3.5億",2024-09-02 00:00:00,轉投資
1598,15981,岱宇一,381.0,100.0,轉投資香港岱宇，用以支應其取得 錫頓金屬製品(嘉興)有限公司 60% 股權之現金對價 6.65億,2017-09-20 00:00:00,轉投資
1598,15982,岱宇二,177.0,99.6,償還銀行借款,2020-08-24 00:00:00,償還銀行借款
1598,15983,岱宇三,121.0,95.1,償還銀行借款10億,2021-06-28 00:00:00,償還銀行借款
1598,15984,岱宇四,103.5,91.5,償還銀行借款5億，發行CB4共2000張，現增12000張，暫定25元,2025-03-03 00:00:00,借新還舊
1599,15991,宏佳騰一,109.0,99.1,充實營運資金3.09億,2022-11-18 00:00:00,充實營運資金
1603,16031,華電一,221.0,100.5,0,,
1606,16062,歌林二,101.5,8.05,,,
1609,16091,大亞一,184.0,114.0,,,
1609,16092,大亞二,184.0,114.0,,,
1609,16093,大亞三,185.0,92.2,,2005-02-02 00:00:00,
1609,16094,大亞四,187.0,98.0,償還銀行借款14.17億，轉投資大亞綠能4.25億,2021-11-22 00:00:00,償還銀行借款
1609,16095,大亞五,110.0,92.85,償還銀行借款15億，充實營運資金5億,2024-09-30 00:00:00,償還+充實
1611,16111,中電ㄧ,135.0,96.4,,2010-05-25 00:00:00,
1611,16112,中電二,102.4,95.0,償還銀行借款16億,2013-03-28 00:00:00,償還銀行借款
1616,16161,億泰一,199.0,99.0,,,
1617,16171,榮星一,128.85,99.0,,,
1617,16172,榮星二,148.0,102.0,,2010-08-29 00:00:00,
1617,16173,榮星三,176.0,94.0,現金增資2.02億，榮星三募得2.23億，償還銀行借款4.26億,2022-03-02 00:00:00,償還銀行借款
1618,16181,合機一,377.0,125.0,,,
1626,16261,艾美特一KY,101.35,89.0,償還銀行借款9.5億，充實營運資金3.5億,2014-08-15 00:00:00,償還+充實
1626,16262,艾美特二KY,125.5,99.7,償還銀行借款5億,2017-09-30 00:00:00,償還銀行借款
1626,16263,艾美特三KY,111.2,101.0,九江場資支出32.65億元，償還銀行借款0.675億元,2019-12-04 00:00:00,償還銀行借款
1626,16264,艾美特四KY,105.5,90.6,償還銀行借款2.73億，充實營運資金1.27億,2020-12-10 00:00:00,償還+充實
1704,17043,榮化三,106.0,71.2,,,
1707,17071,葡萄王一,169.0,98.8,建廠9.97億，購買機器設備0.44億，充實營運資金3.5億,2015-08-26 00:00:00,充實營運資金
1709,17091,和益一,164.0,98.5,轉投資子公司益聯實業1.8億，償還銀行借款5.2億,2014-02-20 00:00:00,償還銀行借款
1712,17121,興農一,142.1,99.6,償還銀行借款12億,2013-08-15 00:00:00,償還銀行借款
1715,17151,萬洲一,199.0,90.0,,2011-09-15 00:00:00,
1715,17152,萬洲二,149.0,99.5,,2013-12-20 00:00:00,
1715,17153,萬洲三,103.9,95.0,,2015-05-28 00:00:00,
1720,17202,生達二,142.85,100.0,,,
1720,17203,生達三,207.0,97.65,,2009-09-18 00:00:00,
1727,17271,中華化一,147.0,97.55,償還銀行借款5.55億，充實營運資金0.48億,2022-10-03 00:00:00,償還+充實
1729,17291,必翔一,145.5,83.0,,2007-12-14 00:00:00,
1729,17292,必翔二,101.6,85.45,,2009-11-22 00:00:00,
1730,17301,花仙子一,178.0,103.5,現金增資1.05億，3500張/30元，花仙子一募得2億，償還銀行借款2.1億，充實營運資金0.95億,2016-02-02 00:00:00,償還+充實
1733,17331,五鼎一,111.8,99.1,現金增資1.95億，3000張/65元，五鼎一募得4億，購置廠房及建物改良3億，充實營運資金2.95億,2012-08-06 00:00:00,充實營運資金
1733,17332,五鼎二,128.2,99.5,償還國內第一次無擔保轉換公4.03億，充實營運資金0.97億,2015-07-15 00:00:00,借新還舊
1733,17333,五鼎三,123.0,100.0,償還國內第二次無擔保轉換公司債到期之本金與利息3.47億,2018-05-24 00:00:00,借新還舊
1734,17341,杏輝一,172.0,100.1,,2008-06-21 00:00:00,
1735,17351,日勝化一,594.0,120.0,0,,
1752,17521,南光一,126.9,99.65,,2010-11-22 00:00:00,
1752,17522,南光二,159.0,106.25,償還銀行借款4億,2013-12-13 00:00:00,償還銀行借款
1781,17811,合世一,268.0,107.0,,2010-01-29 00:00:00,
1781,17812,合世二,200.0,100.0,,2011-01-17 00:00:00,
1781,17813,合世三,116.95,100.3,償還銀行借款0.65億，充實營運資金1.35億,2024-09-24 00:00:00,償還+充實
1784,17841,訊聯一,143.0,68.5,,2008-03-07 00:00:00,
1785,17851,光洋科一,435.0,101.4,,,
1785,17852,光洋科二,297.0,103.0,,,
1786,17861,科妍一,117.0,98.5,興建新廠6.3億，償還銀行借款4.06億,2019-03-04 00:00:00,償還銀行借款
1786,17862,科妍二,313.0,100.0,償還銀行借款3億，充實營運資金1億,2022-10-03 00:00:00,償還+充實
1787,17871,福盈一,133.6,100.0,,,
1787,17872,福盈二,230.0,101.5,,2010-01-18 00:00:00,
1788,17881,杏昌一,163.0,103.8,償還銀行借款2.43億，興建物流倉庫2.65億,2019-04-18 00:00:00,償還銀行借款
1795,17951,美時一,161.0,99.0,,2010-08-10 00:00:00,
1795,17952,美時二,147.2,97.0,,2010-08-13 00:00:00,
1795,17953,美時三,611.0,107.0,現金增資6億，美時三募得4億，擴建產線工程及購置機器設備1.5億，償還銀行借款1.5億，研發新藥費用7.6億,2013-10-18 00:00:00,償還銀行借款
1796,17961,金穎生技一,106.3,80.0,新建廠房1.85億，購置設備2億,2019-03-06 00:00:00,資本支出
1799,17991,易威一,133.0,99.6,現金增資2.68億，14000張/19.2元，易威一募得2億，充實營運資金 1.08億，增設實驗室及其設備0.62億，長期股權投資4.5億,2017-02-21 00:00:00,充實營運資金
1805,18051,寶徠一,117.0,99.75,償還銀行借款3億,2021-09-24 00:00:00,償還銀行借款
1806,18061,冠軍一,269.0,101.2,,2007-09-20 00:00:00,
1806,18062,冠軍二,266.0,107.0,,2009-09-08 00:00:00,
1808,18081,潤隆一,165.0,106.1,,,
1808,18082,潤隆二,156.0,104.0,償還銀行借款10億,2011-10-12 00:00:00,償還銀行借款
1808,18083,潤隆三,305.0,105.2,償還銀行借款15億,2013-09-09 00:00:00,償還銀行借款
1813,18131,寶利一,128.1,100.0,,2010-05-08 00:00:00,
1815,18151,富喬一,190.0,93.0,,2007-07-17 00:00:00,
1815,18152,富喬二,0.0,0.0,,2008-08-05 00:00:00,
1815,18153,富喬三,130.35,99.0,償還銀行借款及短期票券7.5億,2012-03-08 00:00:00,償還銀行借款
1815,18154,富喬四,202.0,96.0,償還銀行借款5億,2013-09-23 00:00:00,償還銀行借款
1815,18155,富喬五,132.0,96.3,償還銀行借款6億,2018-07-26 00:00:00,償還銀行借款
1815,18156,富喬六,283.0,95.6,償還銀行借款4億,2021-03-16 00:00:00,償還銀行借款
1902,19021,台紙一,150.0,93.0,,,
1902,19022,台紙二,135.0,89.05,,,
1902,19023,台紙三,201.0,107.0,,2009-07-13 00:00:00,
1909,19093,榮成三,225.0,93.8,償還銀行借款7億，發行第二次CB 7000張。,2014-08-05 00:00:00,借新還舊
1909,19094,榮成四,118.5,92.2,償還銀行借款15億，發行第三次CB15000張。,2021-12-20 00:00:00,借新還舊
2006,20062,東和鋼鐵二,199.0,96.2,,,
2006,20063,東和鋼鐵三,238.0,104.6,,,
2006,20064,東和鋼鐵四,110.3,81.55,,2008-05-05 00:00:00,
2006,20065,東和鋼鐵五,126.15,99.85,,2009-07-11 00:00:00,
2006,20066,東和鋼鐵六,109.2,99.2,償還銀行借款25億,2012-11-05 00:00:00,償還銀行借款
2006,20067,東和鋼鐵七,173.0,100.0,償還銀行借款25.12億,2018-05-14 00:00:00,償還銀行借款
2012,20121,春雨一,112.35,97.1,償還銀行借款16億，充實營運資金1.81億，春雨一二三同時發行,2022-03-25 00:00:00,償還+充實
2012,20122,春雨二,112.6,97.3,償還銀行借款16億，充實營運資金1.81億，春雨一二三同時發行,2022-03-25 00:00:00,償還+充實
2012,20123,春雨三,112.0,97.15,償還銀行借款16億，充實營運資金1.81億，春雨一二三同時發行,2022-03-25 00:00:00,償還+充實
2020,20201,美亞一,136.5,96.0,,,
2020,20202,美亞二,126.5,76.8,,2007-07-02 00:00:00,
2020,20203,美亞三,161.0,89.5,,2008-08-09 00:00:00,
2022,20221,聚亨一,202.0,103.05,,,
2022,20222,聚亨二,195.0,87.8,,,
2022,20223,聚亨三,128.7,106.85,償還銀行借款3億,2012-07-31 00:00:00,償還銀行借款
2022,20224,聚亨四,120.9,99.8,償還銀行借款3億,2013-09-30 00:00:00,償還銀行借款
2023,20231,燁輝一,157.0,98.0,0,,
2027,20271,成鋼一,115.0,83.85,,,
2030,20301,彰源一,171.0,101.2,,,
2031,20311,新光一,266.0,132.0,,,
2031,20312,新光鋼二,158.0,92.0,,,
2031,20313,新光鋼三,269.0,107.0,,2006-10-20 00:00:00,
2031,20314,新光鋼四,149.0,97.9,購買土地2.83億，擴建廠房1.16億，購買機器設備1億,2013-12-20 00:00:00,資本支出
2031,20315,新光鋼五,284.0,100.5,建築基地夯實工程0.8億，擴建廠房4.98億，購置機器設備0.25億,2017-11-09 00:00:00,資本支出
2032,20321,新光鋼一    ,112.0,84.0,,,
2034,20341,允強一,186.0,96.0,,,
2034,20342,允強二,153.0,89.0,,2006-10-17 00:00:00,
2034,20343,允強三,180.0,99.9,現金增資6億，允強三募得10億，償還銀行借款16億,2020-12-15 00:00:00,償還銀行借款
2034,20344,允強四,120.0,100.0,現金增資10億，允強四募得20.1億，償還銀行借款30.1億,2024-10-02 00:00:00,償還銀行借款
2038,20381,海光一,112.0,100.05,,2011-02-19 00:00:00,
2038,20382,海光二,109.9,89.0,,2011-02-20 00:00:00,
2059,20591,川湖一,121.0,90.5,,2007-01-16 00:00:00,
2059,20592,川湖二,210.0,99.0,,2009-11-09 00:00:00,
2061,20611,風青一,191.0,110.0,償還銀行借款2億,2011-08-25 00:00:00,償還銀行借款
2061,20612,風青二,136.9,99.7,償還銀行借款1.18億,2022-01-12 00:00:00,償還銀行借款
2063,20631,世鎧一,123.5,99.65,償還銀行借款3.03億,2019-08-02 00:00:00,償還銀行借款
2063,20632,世鎧二,117.2,98.0,償還銀行借款4.38億，充實營運資金2.05億,2023-11-10 00:00:00,償還+充實
2065,20651,世豐一,165.0,100.6,償還銀行借款2.35億及充實營運資金1.67億，共4.02億,2019-11-18 00:00:00,償還+充實
2065,20652,世豐二,134.95,99.5,償還銀行借款3億，充實營運資金3.45億,2022-03-22 00:00:00,償還+充實
2066,20661,世德一,250.0,106.0,充實營運資金1.8億，償還銀行借款2.6億,2021-12-08 00:00:00,償還+充實
2066,20662,世德二,156.0,96.0,充實營運資金3.59億，償還銀行借款0.8億,2023-07-31 00:00:00,償還+充實
2069,20691,運錩一,189.0,106.3,償還銀行借款4億，與運錩二同時發行,2016-08-08 00:00:00,償還銀行借款
2069,20692,運錩二,177.0,100.15,償還銀行借款4億，與運錩一同時發行,2016-08-09 00:00:00,償還銀行借款
2069,20693,運錩三,105.9,94.7,償還銀行借款6億,2018-09-06 00:00:00,償還銀行借款
2069,20694,運錩四,123.05,94.05,現金增資2.8億，運錩四募得3.34億，償還銀行借款6.14億,2021-11-25 00:00:00,償還銀行借款
2101,21011,南港一,136.0,99.45,,2010-01-12 00:00:00,
2103,21031,中橡二,245.0,101.5,0,,
2104,21043,國際中橡三,106.4,94.05,償還銀行借款21.5億，碳黑工廠之工程款及其相關支出6.75億，充實營運資金6.91億,2023-10-13 00:00:00,償還+充實
2107,21071,厚生一,188.0,99.9,,,
2109,21091,華豐一,145.8,100.0,,,
2114,21141,鑫永一,258.0,81.5,,2007-01-09 00:00:00,
2115,21151,六暉一KY,116.9,95.0,"現金增資1.75億，3500張/50元，六暉一募得4.02億,購置機器設備1.82，償還銀行借款4.09億，充實營運資金0.11億",2015-04-08 00:00:00,償還+充實
2201,22012,裕隆二,152.0,99.7,,2004-12-24 00:00:00,
2201,22013,裕隆三,118.45,94.0,償還銀行借款77.05億，償還 107 年度第一次國內無擔保普通公司36億,2023-05-25 00:00:00,償還銀行借款
2204,22043,中華三,105.3,92.55,,,
2208,22081,台船一,151.0,99.55,充實營運資金10.2億及償還銀行借款10.2億，共需資金20.4億,2020-02-24 00:00:00,償還+充實
2228,22281,劍麟一,200.0,102.0,現金增資2億，1800張/111.5元，劍麟一募得3億，償還銀行借款1.5億，充實營運資金2.57億，轉投資海外子公司0.93億,2015-05-26 00:00:00,償還+充實
2228,22282,劍麟二,117.45,99.0,充實營運資金4.16億及轉投資海外波蘭子公司2億，共需資金6.16億,2020-03-09 00:00:00,充實營運資金
2228,22283,劍麟三,152.0,106.0,現金增資3億，3750張/80元，劍麟三募得3.4億，償還銀行借款3.8億，充實營運資金2.6億,2024-08-29 00:00:00,償還+充實
2230,22301,泰茂一,112.0,98.5,償還銀行借款1.58億，轉投資-福興科技0.42億，泰茂一、二、三同時發行,2016-04-06 00:00:00,償還銀行借款
2230,22302,泰茂二,117.8,99.85,償還銀行借款1.58億，轉投資-福興科技0.42億，泰茂一、二、三同時發行,2016-04-06 00:00:00,償還銀行借款
2230,22303,泰茂三,107.0,99.15,償還銀行借款1.58億，轉投資-福興科技0.42億，泰茂一、二、三同時發行,2016-04-07 00:00:00,償還銀行借款
2230,22304,泰茂四,470.0,121.45,償還銀行借款2.34億，充實營運資金0.97億,2023-01-06 00:00:00,償還+充實
2231,22311,為升一,522.0,107.0,償還銀行借款1.8億，擴建廠房0.3億，購置機器設備0.47億,2013-09-30 00:00:00,償還銀行借款
2231,22312,為升二,158.0,100.6,轉投資至鴻公司4.86億，轉投資為昇科公司2.15億,2016-05-23 00:00:00,轉投資
2231,22313,為升三,134.3,98.6,償還銀行借款13.06億,2022-08-29 00:00:00,償還銀行借款
2236,22361,百達一KY,125.0,99.8,購置機器設備1.8億，償還銀行借款0.7億,2016-12-14 00:00:00,償還銀行借款
2236,22362,百達二KY,215.0,104.0,現金增資1.56億，3000張/52元，百達二募得2.07億，償還銀行借款1.25億，充實營運資金2.31億,2023-08-18 00:00:00,償還+充實
2239,22391,英利一KY,119.9,99.1,償還銀行借款(開曼)4.91億，購置機器設備(青島廠) 5.34億，充實營運資金3億,2017-01-10 00:00:00,償還+充實
2239,22392,英利二KY,108.5,96.8,購置機器設備6.37億，償還銀行借款6.89億，充實營運資金3.95億,2018-06-22 00:00:00,償還+充實
2239,22393,英利三KY,130.0,99.5,償還銀行借款5.01億,2021-10-19 00:00:00,償還銀行借款
2243,22431,宏旭一KY,134.0,80.6,償還銀行借款2.23億，充實營運資金1.76億,2018-11-30 00:00:00,償還+充實
2250,22501,IKKA一KY,185.0,100.2,現金增資1.09億，1820張/60元，IKKA一募得2.5億，償還銀行借款3.03億，充實營運資金0.6億,2024-03-04 00:00:00,償還+充實
2313,23131,華通一,117.0,112.0,,,
2313,23132,華通二    ,165.0,99.0,,,
2313,23133,華通三    ,179.0,96.5,,,
2314,23141,台揚一,116.0,82.0,,,
2314,23142,台揚二,153.0,104.0,現金增資2.6億，台揚二募得4億，償還借款6.61億,2016-10-31 00:00:00,償還銀行借款
2317,23171,鴻海一,113.5,94.5,,2006-10-31 00:00:00,
2332,23323,友訊三,108.8,93.1,,2010-01-02 00:00:00,
2333,23331,碧悠一,113.5,98.5,,,
2337,23371,旺宏一,184.0,87.0,,,
2337,23372,旺宏二,181.0,87.0,償還銀行借款30.3億，發行CB2共30000張,2025-03-24 00:00:00,借新還舊
2338,23382,光罩二,117.5,97.9,,,
2338,23383,光罩三,132.5,92.7,購置機器設備20.4億，充實營運資金2.64億,2021-08-03 00:00:00,充實營運資金
2340,23401,光磊二,154.0,71.2,,,
2347,23471,聯強一,149.9,79.0,,2008-06-14 00:00:00,
2347,23472,聯強二,104.8,97.0,,2011-01-04 00:00:00,
2348,23481,海悅一,208.0,109.0,償還銀行借款3.5億，充實營運資金1.5億,2019-07-16 00:00:00,償還+充實
2351,23511,順德一,137.95,102.2,償還銀行借款12億，發行CB1共12000張競拍,2025-06-17 00:00:00,借新還舊
2352,23521,明碁一,100.0,99.0,,,
2353,23532,宏碁二,105.0,92.55,充實營運資金 60億,2013-05-14 00:00:00,充實營運資金
2354,23541,鴻準一,114.1,81.75,,2007-10-22 00:00:00,
2355,23551,敬鵬一,156.0,100.0,,,
2357,23571,華碩一,120.5,94.4,,2006-10-28 00:00:00,
2358,23581,廷鑫一,118.5,96.35,現金增資2.16億，償還前次公司債3.02億，償還金融機構借款2.22億,2022-09-28 00:00:00,借新還舊
2360,23601,致茂一,100.0,99.5,,,
